JOURNAL ENTRY NO	PERIOD/YEAR	JOURNAL ENTRY DESCRIPTION	DIVISION	ACCOUNT	TASK	ACCOUNT	DESCRIPTION	DATE	DEBIT	CREDIT
1013	3/20	LAND INTERFACE	001	101010				12/20/19	600	0
1013	3/20	LAND INTERFACE	001	321050				12/20/19	0	300
1013	3/20	LAND INTERFACE	001	322410				12/20/19	0	300
1015	3/20	UB TRANSACTIONS	450	101010				12/09/19	6264.62	0
1015	3/20	UB TRANSACTIONS	440	101010				12/09/19	686.33	0
1015	3/20	UB TRANSACTIONS	450	115410				12/09/19	0	6264.62
1015	3/20	UB TRANSACTIONS	440	115410				12/09/19	0	686.33
1016	3/20	UB TRANSACTIONS	440	101010				12/10/19	913.28	0
1016	3/20	UB TRANSACTIONS	450	101010				12/10/19	240.18	0
1016	3/20	UB TRANSACTIONS	440	115410				12/10/19	0	913.28
1016	3/20	UB TRANSACTIONS	450	115410				12/10/19	0	240.18
1017	3/20	UB TRANSACTIONS	440	220154				12/10/19	507.76	0
1017	3/20	UB TRANSACTIONS	440	220166				12/10/19	0	497.18
1017	3/20	UB TRANSACTIONS	440	343310				12/10/19	0	8.96
1017	3/20	UB TRANSACTIONS	440	369902				12/10/19	0	0.9
1017	3/20	UB TRANSACTIONS	440	369901				12/10/19	0	0.72
1018	3/20	UB TRANSACTIONS	440	101010				12/11/19	769.2	0
1018	3/20	UB TRANSACTIONS	450	101010				12/11/19	392.59	0
1018	3/20	UB TRANSACTIONS	440	115410				12/11/19	0	769.2
1018	3/20	UB TRANSACTIONS	450	115410				12/11/19	0	392.59
1021	3/20	UB TRANSACTIONS	440	101010				12/12/19	186	0
1021	3/20	UB TRANSACTIONS	450	101010				12/12/19	20	0
1021	3/20	UB TRANSACTIONS	440	115410				12/12/19	0	186
1021	3/20	UB TRANSACTIONS	450	115410				12/12/19	0	20
1037	3/20	LAND INTERFACE	001	101010				12/23/19	75	0
1037	3/20	LAND INTERFACE	001	321050				12/23/19	0	75
1038	3/20	LAND INTERFACE	001	101010				12/30/19	970	0
1038	3/20	LAND INTERFACE	001	322410				12/30/19	0	600
1038	3/20	LAND INTERFACE	001	321050				12/30/19	0	370
1109	3/20	UB TRANSACTIONS	440	101010				12/13/19	726.56	0
1109	3/20	UB TRANSACTIONS	450	101010				12/13/19	145.07	0
1109	3/20	UB TRANSACTIONS	440	115410				12/13/19	0	726.56
1109	3/20	UB TRANSACTIONS	450	115410				12/13/19	0	145.07
1110	3/20	UB TRANSACTIONS	450	101010				12/16/19	236.28	0
1110	3/20	UB TRANSACTIONS	440	101010				12/16/19	179.14	0
1110	3/20	UB TRANSACTIONS	450	115410				12/16/19	0	236.28
1110	3/20	UB TRANSACTIONS	440	115410				12/16/19	0	179.14
1111	3/20	UB TRANSACTIONS	440	101010				12/17/19	1462.26	0
1111	3/20	UB TRANSACTIONS	450	101010				12/17/19	253.44	0
1111	3/20	UB TRANSACTIONS	440	115410				12/17/19	0	1462.26
1111	3/20	UB TRANSACTIONS	450	115410				12/17/19	0	253.44
1112	3/20	UB TRANSACTIONS	440	343310				12/18/19	4895.65	0
1112	3/20	UB TRANSACTIONS	440	343510				12/18/19	4276.15	0
1112	3/20	UB TRANSACTIONS	440	369901				12/18/19	731.39	0
1112	3/20	UB TRANSACTIONS	450	115410				12/18/19	5.2	0
1112	3/20	UB TRANSACTIONS	440	115410				12/18/19	0	9903.19
1112	3/20	UB TRANSACTIONS	450	343800				12/18/19	0	5.2
1116	3/20	UB TRANSACTIONS	440	101010				12/18/19	398.17	0
1116	3/20	UB TRANSACTIONS	450	101010				12/18/19	29.27	0
1116	3/20	UB TRANSACTIONS	440	115410				12/18/19	0	398.17
1116	3/20	UB TRANSACTIONS	450	115410				12/18/19	0	29.27
1184	3/20	UB TRANSACTIONS	440	101010				12/19/19	1221.17	0
1184	3/20	UB TRANSACTIONS	450	101010				12/19/19	40.86	0
1184	3/20	UB TRANSACTIONS	440	220166				12/19/19	0	1200
1184	3/20	UB TRANSACTIONS	450	115410				12/19/19	0	40.86
1184	3/20	UB TRANSACTIONS	440	115410				12/19/19	0	21.17
1185	3/20	UB TRANSACTIONS	440	101010				12/20/19	107.06	0
1185	3/20	UB TRANSACTIONS	450	101010				12/20/19	48	0
1185	3/20	UB TRANSACTIONS	440	115410				12/20/19	0	107.06
1185	3/20	UB TRANSACTIONS	450	115410				12/20/19	0	48
1187	3/20	UB TRANSACTIONS	440	101010				12/23/19	134.87	0
1187	3/20	UB TRANSACTIONS	450	101010				12/23/19	95.5	0
1187	3/20	UB TRANSACTIONS	440	115410				12/23/19	0	134.87
